;displaystopid;fullname;fullnamelocalized;lastupdated;latitude;longitude;operators;shortname;shortnamelocalized;stopid
3558;4354;Newtownpark Ave;;29/05/2017 09:46;53.28747306;-6.175823889;[{'name': 'bac', 'routes': ['46E']}];Newtownpark Ave;Asc Pháirc an Bhail;4354
3559;4355;Newtownpark Ave;;29/05/2017 09:46;53.29118694;-6.171766111;[{'name': 'bac', 'routes': ['46E']}];Newtownpark Ave;Asc Pháirc an Bhail;4355
3560;4357;Old Lucan Rd;;29/05/2017 09:46;53.35793889;-6.380581944;[{'name': 'bac', 'routes': ['18']}];Old Lucan Rd;Snbr Leamhcáin;4357
3561;4359;Old Lucan Rd;;29/05/2017 09:46;53.357975;-6.379078889;[{'name': 'bac', 'routes': ['18']}];Old Lucan Rd;Snbr Leamhcáin;4359
3562;4360;Old Lucan Rd;;29/05/2017 09:46;53.35715;-6.373576944;[{'name': 'bac', 'routes': ['18']}];Old Lucan Rd;Snbr Leamhcáin;4360
3563;4361;Kennelsfort Rd;;29/05/2017 09:46;53.35560806;-6.371188889;[{'name': 'bac', 'routes': ['18']}];Kennelsfort Rd;Br Kennelsfort;4361
3564;4362;Blanchardstown Rd;;29/05/2017 09:46;53.3931;-6.3987;[{'name': 'bac', 'routes': ['239', '220', '39', '37']}];Blanchardstown Rd;Br Bhaile Bhlainséi;4362
3565;4363;St. Helena's Road;;29/05/2017 09:46;53.3817;-6.303495;[{'name': 'bac', 'routes': ['40', '220']}];St. Helena's Road;Bóthar San Eiléana;4363
3566;4364;Cappagh Road;;29/05/2017 09:46;53.39264306;-6.321933889;[{'name': 'bac', 'routes': ['220', '17A', '40D']}];Cappagh Road;Bóthar Cheapaí;4364
3567;4365;Poppintree Pk;;29/05/2017 09:46;53.40211111;-6.283586944;[{'name': 'bac', 'routes': ['220']}];Poppintree Pk;Pc Chrann Phapáin;4365
3568;4366;Clune Road;;29/05/2017 09:46;53.39121;-6.294788056;[{'name': 'bac', 'routes': ['220']}];Clune Road;Bóthar Mhic Clúin;4366
3569;4367;Poppintree Pk;;29/05/2017 09:46;53.39873194;-6.289483056;[{'name': 'bac', 'routes': ['220']}];Poppintree Pk;Pc Chrann Phapáin;4367
3570;4368;Poppintree Pk;;29/05/2017 09:46;53.39881889;-6.288851944;[{'name': 'bac', 'routes': ['220']}];Poppintree Pk;Pc Chrann Phapáin;4368
3571;4369;Jamestown Rd;;29/05/2017 09:46;53.39722;-6.292428889;[{'name': 'bac', 'routes': ['220', '83', '83A', '9']}];Jamestown Rd;Br Bhaile Shéamais;4369
3572;4371;Carnlough Road;;29/05/2017 09:46;53.36595194;-6.292686111;[{'name': 'bac', 'routes': ['122']}];Carnlough Road;Bóthar Charnlaigh;4371
3573;4372;Ballygall Rd East;;29/05/2017 09:46;53.38204694;-6.276085;[{'name': 'bac', 'routes': ['83']}];Ballygall Rd East;Br Bhaile Gall Thoi;4372
3574;4375;Jamestown Rd;;29/05/2017 09:46;53.39166694;-6.29664;[{'name': 'bac', 'routes': ['220']}];Jamestown Rd;Br Bhaile Shéamais;4375
3575;4376;McKee Road;;29/05/2017 09:46;53.39240306;-6.29272;[{'name': 'bac', 'routes': ['220', '9']}];McKee Road;Bóthar Mhic Aoidh;4376
3576;4377;McKee Road;;29/05/2017 09:46;53.39442306;-6.29001;[{'name': 'bac', 'routes': ['9', '220']}];McKee Road;Bóthar Mhic Aoidh;4377
3577;4379;Naas Road;;29/05/2017 09:46;53.31629611;-6.373706111;[{'name': 'bac', 'routes': ['13', '68', '69']}];Naas Road;Bóthar an Náis;4379
3578;4380;Talbot Street;;29/05/2017 09:46;53.350845;-6.253531111;[{'name': 'bac', 'routes': ['53']}];Talbot Street;Sráid Thalbóid;4380
3579;4381;Sutton;;29/05/2017 09:46;53.39168889;-6.116171111;[{'name': 'bac', 'routes': ['102']}];Sutton;Cill Fhionntain;4381
3580;4382;Malahide Road;;29/05/2017 09:46;53.3749;-6.2196;[{'name': 'bac', 'routes': ['15', '14', '27', '27X', '27A', '27B', '42', '43']}];Malahide Road;Bóthar Mhullach Íde;4382
3581;4383;Barryscourt Rd;;29/05/2017 09:46;53.39631194;-6.211116111;[{'name': 'bac', 'routes': ['27X', '27']}];Barryscourt Rd;Br Chúirt an Bharra;4383
3582;4384;North Strand Rd;;29/05/2017 09:46;53.35767111;-6.242686111;[{'name': 'bac', 'routes': ['27', '27B', '27A', '29A', '31B', '31', '31A', '32', '14', '130', '15', '43', '42', '53']}];North Strand Rd;Br na Trá Thuaidh;4384
3583;4385;Malahide Road;;29/05/2017 09:46;53.38853;-6.198951944;[{'name': 'bac', 'routes': ['42', '43', '15', '27X', '27']}];Malahide Road;Bóthar Mhullach Íde;4385
3584;4386;Watermill Drive;;29/05/2017 09:46;53.37805194;-6.175148889;[{'name': 'bac', 'routes': ['29A']}];Watermill Drive;Céide an Mhuilinn U;4386
3585;4387;Malahide Village;;29/05/2017 09:46;53.45086;-6.15256;[{'name': 'bac', 'routes': ['32', '32X', '102']}];Malahide Village;Sráidbhaile Mhullac;4387
3586;4388;Glin Road;;29/05/2017 09:46;53.39872389;-6.205995;[{'name': 'bac', 'routes': ['27X', '27']}];Glin Road;Bóthar an Ghleanna;4388
3587;4389;Collins Ave;;29/05/2017 09:46;53.37363111;-6.210966944;[{'name': 'bac', 'routes': ['104']}];Collins Ave;Asc Uí Choileáin;4389
